user,assistant
Who is Virat Kohli?,Virat Kohli is an Indian international cricketer who plays Test and ODI cricket for the national team and is a former captain in all formats.
What is his nickname?,"He is known by his nicknames 'Cheeku', 'King Kohli', 'Chase Master', and 'Run Machine'."
What are his international achievements?,"Virat Kohli has led India to victory in several international tournaments, including the 2011 ODI World Cup, 2013 Champions Trophy, 2024 T20 World Cup, and 2025 Champions Trophy."
What are some of his individual records?,He holds the record for the most ODI centuries and has the second most centuries in international cricket. He is also the highest run-scorer in the Indian Premier League.
How many ICC Awards has he won?,"Virat Kohli has won 10 ICC Awards, making him the most awarded player in international cricket history."
What are some of the awards he has won?,"He has won the ODI Player of the Year award four times, the Sir Garfield Sobers Trophy (Cricketer of the Year) twice, and the Spirit of Cricket Award once."
What is his role in the Indian team?,Virat Kohli is a right-handed batsman and an occasional right-arm medium-pace bowler.
What is his leadership experience?,He has captained India to win the Test mace three times and has led the team to several international victories.
What is his personal life like?,Virat Kohli is married to Anushka Sharma and has been involved in various charity work and social causes.
What is the name of his foundation?,His foundation is called the VK Foundation.
What is his current ranking?,"Virat Kohli has held the number one spot in all three formats of cricket at different times, including the ODI, T20I, and Test batting rankings."
Has he won any major individual awards?,"Yes, he has been awarded the Cricketer of the Decade and ODI Cricketer of the Decade awards in 2020."
How many runs has he scored in international cricket?,"Virat Kohli has scored over 23,000 runs in international cricket."
Has he achieved any milestones in his career?,"Yes, he became the first player to score 20,000 runs in a decade and has achieved several other milestones in his career."
Where does he play domestic cricket?,Virat Kohli plays domestic cricket for Delhi and Royal Challengers Bangalore in the Indian Premier League.
What is his career statistics?,"Yes, Virat Kohli led India to victory in the 2011 ODI World Cup."
Has he led India to victory in the World Cup?,He has scored several centuries and has been instrumental in India's victories in several international tournaments.
What are some of his notable performances?,"Virat Kohli was born on November 5, 1988, making him 36 years old."
What is his age?,"Yes, he has been involved in various charity work and has won several awards for his philanthropic efforts."
Has he won any awards for his philanthropic efforts?,Virat Kohli is a right-handed batsman and is known for his aggressive and dominant batting style.
What is his batting style?,"Yes, he has won several awards for his batting, including the Sir Garfield Sobers Trophy and the ODI Player of the Year award."
Has he won any awards for his batting?,Virat Kohli made his international debut in 2008 and has since played over 300 ODIs and 125 T20Is.
What is his international cricket career?,"Yes, he has won several awards for his cricket career, including the ICC Cricketer of the Year award and the Wisden Cricketer of the Year award."
Has he won any awards for his cricket career?,Virat Kohli plays for Royal Challengers Bangalore in the Indian Premier League.
What is his role in the Indian Premier League?,"Yes, he has won several awards for his IPL performances, including the Orange Cap award and the Player of the Tournament award."
Has he won any awards for his IPL performances?,"Virat Kohli was born on November 5, 1988, making him 36 years old in Test matches."
What is his age in Test matches?,"Yes, he has won several awards for his Test performances, including the Sir Garfield Sobers Trophy and the Wisden Cricketer of the Year award."
