question,answer
What is the total duration of the dinosaur era?,165 million years
How long have humans existed compared to the age of the Earth?,0004 of the age of the Earth
When were the rocks of the Cincinnatian series deposited?,Between approximately 451 and 443 million years ago
What is the term coined by Sir Richard Owen in 1842?,Dinosauria
What percentage of dinosaurs ate plants?,60
What percentage of dinosaurs ate meat?,40
When did all nonavian nonbird dinosaurs go extinct?,About 66 million years ago
How many known species of extinct dinosaurs are there?,Roughly 700
Are modern birds a kind of dinosaur?,"Yes, because they share a common ancestor with nonavian dinosaurs"
What does the term 'Archosaurs' refer to?,A diverse group of Triassic living and extinct reptiles
What are the two main types of dinosaurs?,Ornithischian and Saurischian
What do all dinosaurs and reptiles have in common?,Hip girdles or pelvises
What does the name 'Ornithischia' mean?,Bird hipped
How do birds and Ornithischian dinosaurs differ?,"Birds have pelvises in which the pubis points backwards, while Ornithischian dinosaurs do not"
What is the significance of the pubis bone in Saurischian dinosaurs?,It points forward
When did dinosaurs first appear?,"During the Triassic period, between 243 and 233 million years ago"
What time period is referred to as the 'Age of the Reptiles'?,The Mesozoic
What is the Mesozoic era composed of?,"The Triassic, Jurassic, and Cretaceous periods"
What was the Mesozoic era characterized by?,"A place of giants, with dinosaurs ruling the world"
What is the CretaceousPaleogene extinction event?,The event that wiped out all nonavian nonbird dinosaurs
What is the significance of the Cincinnatian layer?,It is a good fossil hunting area because it was deposited during the Ordovician period
What type of life existed in the Cincinnatian area during the Ordovician period?,Underwater life
Why is the Cincinnatian area a good fossil hunting area?,Because it was under an inland sea for millions of years during the Ordovician period
Who studies the history of animals and fossils?,People who study the history of animals and fossils
What is the purpose of the calendar?,To put the 165 million year reign of the dinosaurs in perspective
How is the time since the Big Bang compressed into a year?,It is compressed into 1 year
How long ago did the Big Bang happen?,138 billion years ago
What is the term 'Dinosauria' derived from?,The Greek words 'deinos' meaning fearfully great and 'sauros' meaning lizard
What is the significance of the ankle joint in archosaurs?,It distinguishes the two major groups of archosaurs
What is the significance of the Cincinnati area?,It was under an inland sea for millions of years during the Ordovician period
What is a mnemonic used for in Paleontologists' training?,to remember the names of different time periods
What is the name of the mnemonic used to remember the time periods starting from the Cambrian period?,Cows Often Sit Down Carefully Perhaps Their Joints Creak Please No Questions
What is the peak of Carbon Dioxide levels in the air during?,the Cambrian period
What periods had high Carbon Dioxide levels when Dinosaurs lived?,"Triassic, Jurassic, and Cretaceous periods"
What is the Earth's magnetosphere responsible for?,"shielding our home planet from solar and cosmic particle radiation, and erosion of the atmosphere by the solar wind"
What event led to the rise in Oxygen levels on Earth?,The Great Oxygenation Event (GOE)
What is the result of the growth of plants that take in Carbon Dioxide and release Oxygen?,the rise in Oxygen levels
What type of organisms produce Oxygen and take in Carbon Dioxide for their growth process?,Algae and microbial mats of plant material
What are Stromatolites and microbial mats?,diverse and complex ecosystems where different species of bacteria and other microbes work together to produce oxygen
How long have Stromatolites and microbial mats been around?,3 billion years ago
What is the maximum depth to which Stromatolites and microbial mats can be found?,4 meters
What type of microbes forming Stromatolites require sunlight?,cyanobacteria
What happened at the end of the Triassic era?,80% of species died
What was the climate like during the Triassic period?,very hot and dry with huge deserts at the center of the land mass
What archosaurs diversified during the Triassic period?,"crocodilians, flying Pterosaurs, and Dinosaurs"
What is the theory proposed by Alfred Wegener?,continental drift hypothesis
What evidence did Wegener use to support his theory?,fossil evidence
What is the Mesozoic era composed of?,"3 main time periods: Triassic, Jurassic, and Cretaceous"
How long did the Mesozoic era last?,51 million years
What period saw the rise of the dinosaurs?,Triassic era
What other organisms appeared during the Late Triassic period?,"Pterosaurs, frogs, turtles, and crocodiles"
What type of mammals arose during the Late Triassic period?,small mammals
What is the Triassic period composed of?,almost 151 million years
What event led to the Permian-Triassic extinction?,Permian-Triassic extinction event
What type of trees grew everywhere around the world during the Triassic period?,Pleuromeia trees
What happened to most plants during the Permian-Triassic extinction?,they died out
What is the name of the subgroup of archosaurs that first appeared in the Late Triassic?,dinosaurs
When did dinosaurs become dominant?,in the succeeding Jurassic Period
What is the significance of the Great Oxygenation Event (GOE) for life on Earth?,it is essential for all life on Earth today
What is the description of a plant that lived during the Triassic period?,A single unbranched trunk topped by a tuft of grasslike leaves with one or 2 side cones and a main one at the top.
What group of plants dominated the environment during the Triassic period?,"Conifers, evergreen trees, ferns, and seed ferns."
