question,answer
What is the domain of dinosaurs?,Eukaryota
What is the kingdom of dinosaurs?,Animalia
What is the phylum of dinosaurs?,Chordata
What is the clade of dinosaurs?,Sauropsida
What is the clade of Archosauria?,Archosauria
What is the clade of Avemetatarsalia?,Avemetatarsalia
What is the clade of Ornithodira?,Ornithodira
What is the clade of Dinosauromorpha?,Dinosauromorpha
What is the clade of Dinosauriformes?,Dinosauriformes
What is the clade of Dracohors?,Dracohors
What is the clade of Dinosauria?,Dinosauria
What is the major group of Ornithischia?,Ornithischia
What is the major group of Sauropodomorpha?,Sauropodomorpha
What is the major group of Theropoda?,Theropoda
What is the group of extinct dinosaurs of uncertain affinity?,"Agnosphytis, Alwalkeria, Chilesaurus, Chindesaurus, Daemonosaurus, Eodromaeus, Nhandumirim, Nyasasaurus, Pisanosaurus, Smok, Tawa, Thecospondylus"
What is the group of Herrerasauria?,Herrerasauria
What is the group of Silesauridae?,Silesauridae
What is the number of extant species of birds?,"over 11,000"
What is the group of avian dinosaurs?,birds
When did dinosaurs first appear?,"during the Triassic period, between 243 and 233 million years ago"
Why did dinosaurs become dominant?,after the Triassic-Jurassic extinction event
How long did dinosaurs dominate?,throughout the Jurassic and Cretaceous periods
What is the fossil record of dinosaurs?,shows that birds are feathered dinosaurs
What is the main difference between avian and non-avian dinosaurs?,"avians survived the Cretaceous-Paleogene extinction event, non-avians did not"
How many distinct genera of non-avian dinosaurs have been identified?,over 900
How many different species of non-avian dinosaurs have been identified?,"over 1,000"
What is the estimated length of the largest sauropod dinosaurs?,397 meters (130 feet)
What is the estimated height of the largest sauropod dinosaurs?,18 m (59 ft)
What is the misconception about non-avian dinosaurs?,they were uniformly gigantic
"What is the trait shared by many dinosaurs, both avian and non-avian?",nest building
What is the ancestral stance of dinosaurs?,bipedal
What is the evidence that suggests dinosaurs were active animals?,elevated metabolisms and numerous adaptations for social interaction
What is the common feature among all dinosaur groups?,"elaborate display structures, such as horns or crests"
What is the trait shared by many extinct groups of dinosaurs?,bony armor and spines
What is the misconception about the size of non-avian dinosaurs?,they were uniformly gigantic
What is the group of dinosaurs that are generally small due to the constraints of flight?,birds
What is the group of dinosaurs that were large-bodied?,non-avian and avian dinosaurs
What is preservation bias in dinosaur fossils?,Preservation bias as large sturdy bones are more likely to last until they are fossilized
When were the first dinosaur fossils recognized?,The first dinosaur fossils were recognized in the early 19th century
What does the name 'dinosaur' mean?,Dinosaur means 'terrible lizard'
Who coined the term 'dinosaur'?,Sir Richard Owen coined the term 'dinosaur' in 1842
What is the definition of dinosaurs under phylogenetic nomenclature?,Dinosaurs are usually defined as the group consisting of the most recent common ancestor of Triceratops and modern birds and all its descendants
What are the major groups of dinosaurs?,"Major groups of dinosaurs include ankylosaurians, stegosaurians, ceratopsians, pachycephalosaurians, ornithopods, theropods, and sauropodomorphs"
What is the definition of Dinosauria?,Dinosauria can be defined with respect to the most recent common ancestor of Megalosaurus and Iguanodon
What are the characteristics of dinosaurs?,Dinosaurs are archosaurs with hind limbs held erect beneath the body
What is the difference between traditional taxonomy and phylogenetic taxonomy?,"Traditional taxonomy is based on anatomical similarity, while phylogenetic taxonomy is based on deduced ancestry"
What is the relationship between birds and dinosaurs?,Birds are the sole surviving dinosaurs and belong to the subgroup Maniraptora
What is the significance of the research by Baron et al in 2017?,The research suggested a radical revision of dinosaurian systematics and redefined Dinosauria to include sauropods and kin
What is the clade Ornithoscelida?,Ornithoscelida is a clade containing Ornithischia and Theropoda
What is the general description of dinosaurs?,Dinosaurs are archosaurs with hind limbs held erect beneath the body
What distinguishes dinosaurs from other prehistoric animals?,Dinosaurs have the erect hind limb posture characteristic of true dinosaurs
What is the significance of the Mesozoic Era in the history of dinosaurs?,The Mesozoic Era was the time when dinosaurs were the dominant terrestrial vertebrates
What is the relationship between pterosaurs and dinosaurs?,Pterosaurs are distantly related to dinosaurs and are members of the clade Ornithodira
What is the difference between dinosaurs and pterosaurs?,Pterosaurs did not have the erect hind limb posture characteristic of true dinosaurs
What is the significance of the Jurassic and Cretaceous periods in the history of dinosaurs?,The Jurassic and Cretaceous periods were the time when dinosaurs were most diverse and widespread
What is the definition of Ornithischia?,Ornithischia is a group of armored herbivorous quadrupeds
What is the definition of Saurischia?,Saurischia is a group of mostly bipedal carnivores and birds
What is the definition of Theropoda?,Theropoda is a group of mostly bipedal carnivores
What is the definition of Sauropodomorpha?,Sauropodomorpha is a group of mostly large herbivorous quadrupeds with long necks and tails
What is the definition of Ornithopoda?,Ornithopoda is a group of bipedal or quadrupedal herbivores including duckbills
What is the definition of Ceratopsia?,Ceratopsia is a group of bipedal or quadrupedal herbivores with neck frills
What is the definition of Pachycephalosauria?,Pachycephalosauria is a group of bipedal herbivores with thick skulls
What is the definition of Ankylosauria?,Ankylosauria is a group of armored herbivorous quadrupeds
What is the definition of Stegosauria?,Stegosauria is a group of plated herbivorous quadrupeds
What is the definition of Iguanodon?,Iguanodon is a genus of ornithopod dinosaurs
What is the definition of Megalosaurus?,Megalosaurus is a genus of theropod dinosaurs
What is the definition of Triceratops?,Triceratops is a genus of ceratopsian dinosaurs
What is the definition of Passer domesticus?,Passer domesticus is a species of bird
What is the definition of Diplodocus carnegii?,Diplodocus carnegii is a species of sauropod dinosaur
What is the significance of the Natural History Museum of Los Angeles County?,The Natural History Museum of Los Angeles County has a collection of dinosaur fossils and skeletons
What was the typical size of non-avian dinosaurs?,rarely exceeded the size of a domestic cat and were generally rodentsized carnivores of small prey
How many non-avian dinosaur genera have been confidently identified?,over 900
What is the estimated total number of dinosaur genera preserved in the fossil record?,1850
What is the estimated total number of dinosaur species that ever existed?,3400
How many dinosaur species are estimated to have lived in the Mesozoic?,15432468
How many modern bird species are there?,10806
What types of diets did dinosaurs have?,"herbivorous, carnivorous, seedeaters, fisheaters, insectivores, and omnivores"
Were all dinosaurs bipedal?,"No, some evolved into quadrupeds"
What is common in dinosaurian traits?,cranial modifications like horns and crests
What is the typical size of modern birds?,generally small in size
Where did dinosaurs achieve global distribution by?,the Early Jurassic epoch at latest
What is the evidence for flight in non-avian dinosaurs?,"some non-avian dinosaurs, such as Microraptor, could fly or at least glide"
What is the distinguishing feature of dinosaurs?,certain modifications to the ancestral archosaurian skeleton
What is a synapomorphy?,a modification originating in the most recent common ancestor of a certain taxonomic group
What are the twelve unambiguous synapomorphies of dinosaurs?,listed in the text
What is the supratemporal fossa excavation?,a characteristic of the dinosaur skull
What is the purpose of the epipophyses?,obliquely backward-pointing processes on the rear top corners of the anterior front neck vertebrae
What is the function of the deltopectoral crest?,attachment of the deltopectoral muscles
What is the purpose of the fourth trochanter projection?,attachment of the caudofemoralis muscle
What is the characteristic of the proximal articular facet of the astragalus and calcaneum?,occupies less than 30 of the transverse width of the element
What is the feature of the exoccipitals bones?,do not meet along the midline on the floor of the endocranial cavity
What is the characteristic of the pelvis of dinosaurs?,proximal articular surfaces of the ischium with the ilium and the pubis are separated by a large concave surface
What is the function of the cnemial crest?,protruding part on the tibia
What is the typical size of dinosaurs?,rarely exceeded the size of a domestic cat
How many dinosaur species are there?,over 900
What is the estimated number of dinosaur species living in the Mesozoic?,15432468
What is the typical diet of dinosaurs?,"herbivorous, carnivorous, seedeaters, fisheaters, insectivores, and omnivores"
Are there any dinosaurs that could fly?,"yes, some non-avian dinosaurs, such as Microraptor, could fly or at least glide"
What is the characteristic of the dinosaur skull?,certain modifications like horns and crests
What is the typical size of modern birds?,generally small in size
What is the estimated total number of dinosaur genera preserved in the fossil record?,1850
What is the estimated total number of dinosaur species that ever existed?,3400
What is the shape of the top surface of the shinbone?,Anterolaterally curves to the front and the outer side
What is present on the posterior face of the distal end of the tibia?,A distinct proximodistally oriented vertical ridge
What is the shape of the top surface of the calcaneum?,Has a hollow profile
What did Nesbitt find as a sister group to Dinosauria?,Silesaurids
What are some shared skeletal features of dinosaurs?,"A large anterior trochanter, metatarsals II and IV of subequal length, reduced contact between ischium and pubis, and many others"
"What is the typical posture of left to right: typical reptiles, dinosaurs, mammals, and rauisuchians?","Sprawling, erect, erect, and pillarerect, respectively"
What are some characteristics that are not considered synapomorphies of dinosaurs?,"Elongated scapula, sacrum composed of three or more fused vertebrae, and a perforate acetabulum"
Why are early dinosaurs and other archosaurs from the Late Triassic epoch often poorly known?,Because they are similar in many ways and have sometimes been misidentified in the literature
What is the posture of dinosaurs when standing?,"Erect, similar to most modern mammals"
What is the reason for the erect posture of early dinosaurs?,"To breathe easily while moving, which likely permitted stamina and activity levels that surpassed those of sprawling reptiles"
What is the difference between the erect posture of dinosaurs and that of rauisuchians?,"Dinosaurs have a laterally facing recess in the pelvis and a corresponding inwardly facing head on the femur, while rauisuchians have a pillarerect configuration of the hip joint"
What is the purpose of the erect posture of early dinosaurs?,To reduce bending stresses on limbs and support the evolution of large size
What is the history of the study of dinosaur fossils?,"Prescientific history, early dinosaur research, and further research"
What did the Chinese consider dinosaur fossils to be?,Dragon bones
What was the purpose of unearthing fossilized dragon bones in central China?,For use in traditional medicines
What was the general belief about dinosaur fossils in Europe?,That they were the remains of giants and other biblical creatures
Who first described dinosaur bones in England?,William Buckland
When did scholarly descriptions of dinosaur bones first appear in England?,In the late 17th century
What is the significance of the Late Triassic epoch in the study of dinosaurs?,It is a time of transition from earlier archosaurs to the emergence of dinosaurs
What is the relationship between dinosaurs and silesaurids?,Silesaurids are a sister group to Dinosauria
What is the meaning of 'synapomorphies' in the context of dinosaurs?,Shared derived characters that are unique to a particular group or clade
What is the difference between the snout and lower jaw of dinosaurs and other archosaurs?,Dinosaurs have additional openings in the snout and lower jaw
What is the significance of the development of a laterally facing recess in the pelvis?,It enables breathing while moving and supports the evolution of large size
What is the relationship between dinosaurs and other archosaurs?,Dinosaurs are a subgroup of archosaurs
What is the significance of the discovery of dinosaur fossils in China?,It has provided valuable information about the evolution and diversity of dinosaurs
What is the significance of the study of dinosaur fossils?,It has provided insights into the evolution and diversity of life on Earth
What was the first bone of a Megalosaurus found?,"The femur of a Megalosaurus was recovered from a limestone quarry at Cornwell near Chipping Norton, Oxfordshire in 1676."
Who identified the bone as the lower extremity of the femur of a large animal?,"Robert Plot, Professor of Chemistry at the University of Oxford, identified the bone."
What did Robert Plot conclude about the bone?,"He concluded that it was too large to belong to any known species and therefore believed it to be the femur of a huge human, perhaps a Titan or another type of giant."
Who published a description of the bone in 1677?,Robert Plot published a description of the bone in his book 'The Natural History of Oxfordshire'.
Who was Edward Lhuyd?,Edward Lhuyd was a friend of Sir Isaac Newton and published 'Lithophylacii Britannici ichnographia' in 1699.
What did Edward Lhuyd describe and name in his book?,"He described and named a sauropod tooth, Rutellum impicatum."
Where was the sauropod tooth found?,"The sauropod tooth was found in Caswell near Witney, Oxfordshire."
Who coined the word 'dinosaur'?,Sir Richard Owen coined the word 'dinosaur'.
When did Sir Richard Owen coin the word 'dinosaur'?,He coined the word in the 1842 revised version of his talk at an 1841 meeting of the British Association for the Advancement of Science.
Who was the first person to describe a nonavian dinosaur in a scientific journal?,The Rev William Buckland was the first person to describe a nonavian dinosaur in a scientific journal.
What was the name of the nonavian dinosaur genus discovered by William Buckland?,The name of the nonavian dinosaur genus discovered by William Buckland was Megalosaurus.
Who discovered Iguanodon?,"Mary Ann Mantell, the wife of English geologist Gideon Mantell, purportedly discovered Iguanodon in 1822."
Who recognized similarities between Iguanodon fossils and the bones of modern iguanas?,Gideon Mantell recognized similarities between Iguanodon fossils and the bones of modern iguanas.
When was Iguanodon published by Gideon Mantell?,Iguanodon was published by Gideon Mantell in 1825.
What did the term 'dinosaur' refer to when coined by Sir Richard Owen?,The term 'dinosaur' referred to the distinct tribe or suborder of Saurian Reptiles that were then being recognized in England and around the world.
What is the origin of the term 'dinosaur'?,"The term 'dinosaur' is derived from Ancient Greek, deinos, terrible, potent, or fearfully great, and sauros, lizard or reptile."
What did Sir Richard Owen intend the term 'dinosaur' to evoke?,Owen intended the term 'dinosaur' to evoke their size and majesty.
What taxonomic group did Sir Richard Owen present in 1842?,Owen presented the Dinosauria as a distinct taxonomic group in 1842.
Who established the Natural History Museum London?,Sir Richard Owen established the Natural History Museum London with the backing of Prince Albert.
What was the first known American dinosaur?,The first known American dinosaur was Hadrosaurus foulkii.
Who discovered the first known American dinosaur?,William Parker Foulke discovered the first known American dinosaur.
Where was the first known American dinosaur found?,"The first known American dinosaur was found in marl pits in Haddonfield, New Jersey."
What was the name of the first nearly complete dinosaur skeleton found?,The first nearly complete dinosaur skeleton found was Hadrosaurus.
What was revolutionary about the discovery of Hadrosaurus?,The discovery of Hadrosaurus was revolutionary because it showed that dinosaurs were bipedal.
What had most scientists believed about dinosaurs before the discovery of Hadrosaurus?,Most scientists had believed that dinosaurs walked on four feet like other lizards.
Who discovered the first dinosaur skeleton in 1834?,"The first dinosaur skeleton was discovered in Maidstone, England."
What sparked a wave of interest in dinosaurs?,The discovery of Hadrosaurus sparked a wave of interest in dinosaurs.
Who was the Rev William Buckland?,The Rev William Buckland was the first Reader of Geology at the University of Oxford.
What was the significance of the discovery of Megalosaurus?,The discovery of Megalosaurus was significant because it was one of the first nonavian dinosaurs to be described and named.
What is dinosaur mania also known as in the United States?,57 Dinosaur mania was exemplified by the fierce rivalry between Edward Drinker Cope and Othniel Charles Marsh
Who were the two scientists involved in the Bone Wars?,Edward Drinker Cope and Othniel Charles Marsh
How long did the Bone Wars last?,over 30 years
When did the Bone Wars end?,1897
What was the outcome of the Bone Wars for Cope?,Cope died after spending his entire fortune on the dinosaur hunt
What were the methods used by Cope and Marsh for dinosaur hunting?,their diggers often used dynamite to unearth bones
How many new species of dinosaur did Marsh discover?,86
How many new species of dinosaur did Cope discover?,56
What is the total number of new species discovered by Cope and Marsh?,142
Where is Cope's collection of dinosaur specimens now housed?,the American Museum of Natural History in New York City
Where is Marsh's collection of dinosaur specimens now housed?,the Peabody Museum of Natural History at Yale University
What caused a pause in palaeontological research after World War II?,World War II
What was the focus of research shifted to after World War II?,fossil mammals rather than dinosaurs
When did the field of dinosaur research experience a surge in activity?,the end of the 1960s
Who discovered the birdlike dromaeosaurid theropod Deinonychus?,John Ostrom
When was Deinonychus described?,1969
What was the significance of Deinonychus' anatomy?,it indicated that it was an active predator that was likely warm-blooded
Who published a series of studies arguing for active lifestyles in dinosaurs?,Robert T Bakker
When was Bakker's book 'The Dinosaur Heresies' published?,1986
What has been the trend in the number of named dinosaur genera since the 1990s?,the number of named genera began to increase exponentially
How many new species of dinosaurs were named in 2008?,over 30
What has been the average number of new sauropodomorph species named each year between 2009 and 2020?,93
