question,answer
What is artificial intelligence?,"The capability of computational systems to perform tasks typically associated with human intelligence, such as learning, reasoning, problem-solving, perception, and decision-making."
What are some high-profile applications of AI?,"Advanced web search engines, recommendation systems, virtual assistants, autonomous vehicles, generative and creative tools, and superhuman play and analysis in strategy games."
What are some examples of AI applications that are not perceived as AI?,"Many AI applications have filtered into general applications often without being called AI, such as once something becomes useful enough and common enough."
What are the traditional goals of AI research?,"Learning, reasoning, knowledge representation, planning, natural language processing, perception, and support for robotics."
What is general intelligence?,The ability to complete any task performed by a human on an at least equal level.
What are some techniques used in AI research?,"Search and mathematical optimization, formal logic, artificial neural networks, and methods based on statistics, operations research, and economics."
What fields does AI draw upon?,"Psychology, linguistics, philosophy, neuroscience, and other fields."
When was artificial intelligence founded as an academic discipline?,1956.
What happened to AI research after its early optimism?,It went through multiple cycles of optimism followed by periods of disappointment and loss of funding known as AI winters.
What happened to AI research after 2012?,Funding and interest vastly increased after deep learning outperformed previous AI techniques.
What happened to AI research after 2017?,"The transformer architecture emerged, and funding and interest increased further."
What is the current state of AI research?,"Many billions of dollars are being invested in AI, and the field is experiencing rapid ongoing progress."
What are some unintended consequences and harms of advanced generative AI?,Exposing several unintended consequences and harms in the present and raising concerns about the risks of AI and its long-term effects in the future.
What are some regulatory policies being discussed to ensure the safety and benefits of AI technology?,Discussions about regulatory policies to ensure the safety and benefits of the technology.
What is the goal of AI research?,To develop and study methods and software that enable machines to perceive their environment and use learning and intelligence to take actions that maximize their chances of achieving defined goals.
What is the definition of AI according to Wikipedia?,The capability of computational systems to perform tasks typically associated with human intelligence.
What is the difference between AI and machine learning?,"AI is a broader field that encompasses machine learning, which is a subset of AI."
What is the role of psychology in AI research?,Psychology is one of the fields that AI draws upon.
What is the role of linguistics in AI research?,Linguistics is one of the fields that AI draws upon.
What is the role of philosophy in AI research?,Philosophy is one of the fields that AI draws upon.
What is the role of neuroscience in AI research?,Neuroscience is one of the fields that AI draws upon.
What is the role of operations research in AI research?,Operations research is one of the techniques used in AI research.
What is the role of economics in AI research?,Economics is one of the techniques used in AI research.
What is the role of statistics in AI research?,Statistics is one of the techniques used in AI research.
What is the role of formal logic in AI research?,Formal logic is one of the techniques used in AI research.
What is the role of artificial neural networks in AI research?,Artificial neural networks are one of the techniques used in AI research.
What is the role of search and mathematical optimization in AI research?,Search and mathematical optimization are one of the techniques used in AI research.
What is the role of planning in AI research?,Planning is one of the traditional goals of AI research.
What is the role of natural language processing in AI research?,Natural language processing is one of the traditional goals of AI research.
What is the role of perception in AI research?,Perception is one of the traditional goals of AI research.
What is the role of support for robotics in AI research?,Support for robotics is one of the traditional goals of AI research.
What are the subproblems of simulating or creating intelligence?,"Reasoning and problem-solving, Knowledge representation, Planning and decision-making"
What are the traits described in AI research?,"Reasoning and problem-solving, Knowledge representation, Planning and decision-making"
What is the concept of step-by-step reasoning in AI research?,Imitating the way humans solve puzzles or make logical deductions
How do algorithms deal with uncertain or incomplete information?,Employing concepts from probability and economics
What is the issue with large reasoning problems in AI research?,Combining exponentially slower as the problems grow
How do humans typically solve problems?,Using fast intuitive judgments
What is the concept of an ontology in AI research?,Representing knowledge as a set of concepts within a domain and the relationships between those concepts
What are the applications of formal knowledge representations?,"Content-based indexing and retrieval, scene interpretation, clinical decision support, knowledge discovery, and other areas"
What is the difference between a knowledge base and an ontology?,"A knowledge base is a body of knowledge represented in a form that can be used by a program, while an ontology is the set of objects, relations, concepts, and properties used by a particular domain of knowledge"
What are the aspects of knowledge that need to be represented in a knowledge base?,"Objects, properties, categories, relations between objects, situations, events, states, and time, causes and effects, knowledge about knowledge, default reasoning, and many other aspects and domains of knowledge"
What is the difficulty in knowledge representation in AI research?,The breadth of commonsense knowledge and the subsymbolic form of most commonsense knowledge
What is the problem of obtaining knowledge for AI applications?,Knowledge acquisition
What is an agent in AI research?,Anything that perceives and takes actions in the world
What is the goal of a rational agent?,To make their goals or preferences happen
What is the concept of automated planning in AI research?,The agent has a specific goal
What is the concept of automated decision-making in AI research?,The agent has preferences and assigns a utility to each situation
How does an agent make a decision in AI research?,By calculating the expected utility and choosing the action with the maximum expected utility
What is the difference between classical planning and real-world problems in AI research?,"In classical planning, the agent knows exactly what the effect of any action will be, while in real-world problems, the agent may not be certain about the situation or the outcome of each action"
What is the issue with uncertain preferences in AI research?,Especially in problems with other agents or humans involved
How can uncertain preferences be learned in AI research?,With inverse reinforcement learning
What is the concept of inverse reinforcement learning in AI research?,Learning the preferences of an agent by observing its behavior
What is the goal of AI research in the area of planning and decision-making?,To enable agents to make decisions and take actions in complex and uncertain environments
What is the challenge in AI research in the area of planning and decision-making?,To develop algorithms that can reason about uncertain and incomplete information and make decisions that achieve the agent's goals
What is the application of AI research in the area of planning and decision-making?,"In areas such as robotics, autonomous vehicles, and healthcare"
What is the concept of a rational agent in AI research?,An agent that has goals or preferences and takes actions to make them happen
What is the concept of a utility in AI research?,A measure of how much an agent prefers a particular situation
What is the concept of expected utility in AI research?,The utility of all possible outcomes of an action weighted by the probability that the outcome will occur
What is the concept of default reasoning in AI research?,Assuming things are true until they are told differently and remaining true even when other facts are changing
What is reinforcement learning?,The agent is rewarded for good responses and punished for bad ones. The agent learns to choose responses that are classified as good.
What is Information value theory used for?,To weigh the value of exploratory or experimental actions.
What is a Markov decision process?,A process that has a transition model that describes the probability that a particular action will change the state in a particular way and a reward function that supplies the utility of each state and the cost of each action.
What is a policy in a Markov decision process?,A policy associates a decision with each possible state.
What is game theory used for in AI?,To describe the rational behavior of multiple interacting agents.
What is machine learning?,The study of programs that can improve their performance on a given task automatically.
What are the kinds of machine learning?,"Unsupervised, supervised, and reinforcement learning."
What is unsupervised learning?,Analyzing a stream of data and finds patterns and makes predictions without any other guidance.
What is supervised learning?,"Requires labeling the training data with the expected answers and comes in two main varieties, classification and regression."
What is transfer learning?,When the knowledge gained from one problem is applied to a new problem.
What is deep learning?,A type of machine learning that runs inputs through biologically inspired artificial neural networks.
What is computational learning theory used for?,"To assess learners by computational complexity, by sample complexity, or by other notions of optimization."
What is natural language processing?,"The ability of programs to read, write, and communicate in human languages."
What are the specific problems in natural language processing?,"Speech recognition, speech synthesis, machine translation, information extraction, information retrieval, and question answering."
What was the early challenge in natural language processing?,Difficulty with word-sense disambiguation unless restricted to small domains called microworlds due to the common sense knowledge problem.
"Who believed that meaning, not grammar, was the key to understanding languages?",Margaret Masterman.
What are the modern deep learning techniques for NLP?,"Word embedding, transformers, and others."
What are the recent advancements in NLP?,"Generative pretrained transformer or GPT language models began to generate coherent text and by 2023 these models were able to get human-level scores on the bar exam, SAT test, GRE test, and many other real-world applications."
What is machine perception?,The ability to use input from sensors to deduce aspects of the world.
What is computer vision?,The ability to analyze visual input.
What are the fields included in computer vision?,"Speech recognition, image classification, facial recognition, object recognition, object tracking, and robotic perception."
What is Kismet?,A robot head that can recognize and simulate emotions.
What is affective computing?,"A field that comprises systems that recognize, interpret, process, or simulate human feeling."
What is reinforcement learning used for in NLP?,The agent learns to choose responses that are classified as good.
What is the goal of unsupervised learning in NLP?,To analyze a stream of data and find patterns and make predictions without any other guidance.
What is the goal of supervised learning in NLP?,To predict what category the input belongs in or to deduce a numeric function based on numeric input.
What is the goal of transfer learning in NLP?,To apply the knowledge gained from one problem to a new problem.
What is the goal of deep learning in NLP?,To run inputs through biologically inspired artificial neural networks.
What is the goal of computational learning theory in NLP?,"To assess learners by computational complexity, by sample complexity, or by other notions of optimization."
What is the goal of natural language processing?,"To read, write, and communicate in human languages."
What is the goal of machine perception?,To use input from sensors to deduce aspects of the world.
What is the goal of computer vision?,To analyze visual input.
What is the goal of affective computing?,To classify the effects displayed by a videotaped subject
What is artificial general intelligence?,A machine with artificial general intelligence should be able to solve a wide variety of problems with breadth and versatility similar to human intelligence
What are the two kinds of search used in AI?,State space search and local search
What is state space search?,It searches through a tree of possible states to try to find a goal state
What is local search?,It uses mathematical optimization to find a solution to a problem and begins with some form of guess and refines it incrementally
What is gradient descent?,A type of local search that optimizes a set of numerical parameters by incrementally adjusting them to minimize a loss function
What is evolutionary computation?,A type of local search that aims to iteratively improve a set of candidate solutions by mutating and recombining them selecting only the fittest to survive each generation
What is swarm intelligence?,A type of distributed search process that can coordinate via algorithms such as particle swarm optimization and ant colony optimization
What is formal logic?,Used for reasoning and knowledge representation
What are the two main forms of formal logic?,Propositional logic and predicate logic
What is deductive reasoning in logic?,The process of proving a new statement conclusion from other statements that are given and assumed to be true the premises
What is a proof tree?,A tree in which nodes are labelled by sentences and children nodes are connected to parent nodes by inference rules
What is Horn clauses?,A type of logic that allows problemsolving search to be performed by reasoning forwards from the premises or backwards from the problem
What is the goal of virtual assistants?,To appear more sensitive to the emotional dynamics of human interaction or to facilitate human-computer interaction
What is multimodal sentiment analysis?,A type of AI that classifies the effects displayed by a videotaped subject
What is search and optimization in AI?,A technique used to solve many problems by intelligently searching through many possible solutions
What is adversarial search?,Used for gameplaying programs such as chess or Go and searches through a tree of possible moves and countermoves looking for a winning position
What is the difference between state space search and local search?,"State space search searches through a tree of possible states to try to find a goal state, while local search uses mathematical optimization to find a solution to a problem"
What is the purpose of heuristics in search?,To prioritize choices that are more likely to reach a goal
What is the result of a simple exhaustive search in AI?,A search that is too slow or never completes due to the astronomical number of places to search
