question,answer
What is the scientific name of the lion?,Panthera leo
What is the lion's domain?,Eukaryota
What is the lion's kingdom?,Animalia
What is the lion's phylum?,Chordata
What is the lion's class?,Mammalia
What is the lion's order?,Carnivora
What is the lion's suborder?,Feliformia
What is the lion's family?,Felidae
What is the lion's subfamily?,Pantherinae
What is the lion's genus?,Panthera
What is the lion's species?,P leo
Who described the lion in his work Systema Naturae?,Carl Linnaeus
What is the lion's conservation status?,Vulnerable
What is the lion's IUCN Red List status?,Vulnerable
What is the lion's CITES Appendix II status?,Yes
What is the lion's historical distribution?,Africa and India
What is the lion's social structure?,Forming groups called prides
What is the lion's diet?,Medium-sized and large ungulates
What is the lion's habitat?,"Grasslands, savannahs, and shrublands"
What is the lion's activity pattern?,"Usually diurnal, but can adapt to being active at night and twilight"
What is the lion's population decline cause?,Habitat loss and conflicts with humans
What is the lion's cultural significance?,Symbol of power and royalty
What is the English word lion derived from?,Latin lenem nominative le
What is the Hebrew word lion related to?,Lavi
What is the generic name Panthera traceable to?,Classical Latin word panthra and ancient Greek word panther
Who coined the genus name Panthera?,Lorenz Oken
How many lion specimens were described and proposed as subspecies between the mid-18th and mid-20th centuries?,26
How many lion subspecies were recognised as valid in 2005?,11
What is the current lion taxonomy recognition?,Two subspecies: P l leo and P l persica
Who revised lion taxonomy in 2017?,Cat Classification Task Force of the Cat Specialist Group
What is the lion's temporal range?,Pleistocene to present
What is the lion's temporal range in scientific notation?,Pre O S D C P T J K Pg N
What is the lion's male characteristics?,"Larger than females, prominent mane"
What is the lion's female characteristics?,Smaller than males
What is the nominate lion subspecies?,P l leo Linnaeus 1758
What are the synonyms of P l leo?,"P l persica Meyer 1826, P l senegalensis Meyer 1826, P l kamptzi Matschie 1900, and P l azandica Allen 1924"
What is the northern lion also referred to as?,Northern subspecies
What is the southern lion also referred to as?,Southern subspecies
What is the result of DNA analysis on Central African lions?,"They cluster with P leo leo in mtDNAbased phylogenies, but their genomic DNA indicates a closer relationship with P leo melanochaita"
What is the taxonomic position of lions in Central Africa suggested to require revision?,Based on genome-wide data of a wildborn historical lion sample from Sudan
What is the name of the fossil carnassial excavated in Sri Lanka?,P l sinhaleyus
When did P l sinhaleyus become extinct?,"Around 39,000 years ago"
What is the name of the larger lion subspecies that lived in the Middle Pleistocene?,P fossilis
Where were bone fragments of P fossilis excavated?,"In caves in the United Kingdom, Germany, Italy, and Czech Republic"
What is the name of the cave lion?,P spelaea
When did P spelaea become extinct?,"Latest by 11,900 years ago"
What is the range of P spelaea indicated by bone fragments?,From Europe across Siberia into western Alaska
What is the likely origin of P spelaea?,P fossilis
What is the name of the American lion?,P atrox
When did P atrox diverge from the cave lion?,"Around 165,000 years ago"
What is the estimated age of a fossil from Edmonton?,"11,355 years ago"
When did the Panthera lineage diverge from the common ancestor of the Felidae?,Estimated to be around 932 to 447 million years ago
What is the phylogenetic relationship of the lion with the jaguar?,Thought to form a sister group that diverged 346 to 122 million years ago
What is the phylogenetic relationship of the lion with the leopard?,Thought to form a sister group that diverged 31 to 195 million years ago
When did hybridisation between lion and snow leopard ancestors possibly continue?,Until about 21 million years ago
What is the name of the lion-leopard clade?,Not specified
How many subspecies of lion are there?,14
What is the name of the regionally extinct Barbary lion?,Not specified
What is the name of the extinct Cape lion?,Not specified
What is the name of the lion population in West and northern parts of Central Africa?,Not specified
When did the early fossils of lions appear?,The earliest fossils recognisable as lions were found at Olduvai Gorge in Tanzania and are estimated to be up to 2 million years old.
What is the estimated time of divergence for the modern and cave lion lineages?,Estimates for the divergence time of the modern and cave lion lineages range from 529000 to 392000 years ago.
Did the Eurasian and American cave lions have mitochondrial descendants on other continents?,"No, there is no evidence for gene flow between the two lineages indicating that they did not share the same geographic area."
Where did the modern lion probably originate?,The modern lion was probably widely distributed in Africa during the Middle Pleistocene.
When did lion populations in East and Southern Africa become separated from populations in West and North Africa?,Lion populations in East and Southern Africa became separated from populations in West and North Africa when the equatorial rainforest expanded 183500 to 81800 years ago.
What happened to lion populations in West and North Africa?,As the rainforest decreased and thus gave rise to more open habitats lions moved from West to Central Africa.
When did lions disperse to southern Europe and Asia?,Lions from North Africa dispersed to southern Europe and Asia between 38800 and 8300 years ago.
