question,answer
What is the Indian Premier League?,A professional Twenty20 cricket league in India organised by the Board of Cricket Control in India BCCI
When was the Indian Premier League founded?,In 2007
How many teams participate in the Indian Premier League?,UNKNOWN_NUMBER (Ten state or city-based franchise teams)
What is the format of the Indian Premier League?,Double round-robin format followed by playoffs
Who is the most successful team in the Indian Premier League?,"Chennai Super Kings and Mumbai Indians, with 5 titles each"
Who is the highest run-scorer in the Indian Premier League?,"Virat Kohli, with 8063 runs"
Who is the highest wicket-taker in the Indian Premier League?,"Yuzvendra Chahal, with 205 wickets"
What is the name of the television channel that broadcasts the Indian Premier League?,Star Sports
What is the name of the streaming platform that streams the Indian Premier League?,Hotstar
What is the estimated brand value of the Indian Premier League?,"Rs 90,038 crore (US$11 billion)"
What is the estimated contribution of the Indian Premier League to India's GDP?,"Rs 1,150 crore (US$140 million)"
Who are the current champions of the Indian Premier League?,Kolkata Knight Riders
What is the name of the tournament format used in the Indian Premier League?,Double round-robin format
Who is the founder of the Indian Cricket League (ICL)?,Zee Entertainment Enterprises
Why was the Indian Cricket League (ICL) not recognized by the BCCI or ICC?,Because it was not recognized by the Board of Control for Cricket in India BCCI or the International Cricket Council ICC
When did the Indian Premier League become the first sporting event to be broadcast live on YouTube?,In 2010
What is the name of the consulting firm that valued the Indian Premier League at US$109 billion?,D and P Advisory
What is the estimated valuation of the Indian Premier League in 2020?,Rs 62 billion (US$8.5 billion)
What is the name of the media rights buyer for the Indian Premier League?,Viacom18 and Star Sports
What is the total value of the Indian Premier League media rights for the next 4 seasons?,US$64 billion
What is the value of each IPL match?,US$134 million
What is the name of the league that inspired the Indian Premier League?,Pro Kabaddi League and Indian Super League
What was the name of the rival league that the BCCI considered a rebel league?,Indian Cricket League (ICL)
Who led the IPL initiative?,Lalit Modi
What was the total reserve price for the eight franchises in the IPL auction?,400 million
How much did the IPL auction ultimately raise?,723.59 million
Which teams participated in the inaugural season of the IPL?,"Chennai Super Kings, Mumbai Indians, Delhi Daredevils, Kings XI Punjab, Deccan Chargers, Rajasthan Royals, Kolkata Knight Riders, and Royal Challengers Bangalore"
Why was the ICL shut down?,Due to the ban on players who chose to participate in the league
When did the IPL officially commence?,April 2008
How many new franchises joined the league before the fourth season in 2011?,2
What was the name of the new franchise that replaced Deccan Chargers?,Sunrisers Hyderabad
Why was the Pune Warriors India franchise terminated?,Due to their failure to pay the BCCI the 10 bank guarantee element of the franchise fee
Why did Chennai Super Kings and Rajasthan Royals get suspended?,Due to their involvement in a spot-fixing and betting scandal
What was the name of the two teams that replaced Chennai Super Kings and Rajasthan Royals for two seasons?,Pune and Rajkot
Why was the 2020 season moved to the United Arab Emirates?,Due to the COVID-19 pandemic
How many new franchises joined the league in the 2022 season?,2
What were the names of the two new franchises that joined the league in the 2022 season?,Lucknow Super Giants and Gujarat Titans
