question,answer
What is the name of the Indian Premier League cricket franchise?,Chennai Super Kings
When was the Chennai Super Kings franchise established?,24 January 2008
Who is the current captain of the Chennai Super Kings?,Ruturaj Gaikwad
Who is the coach of the Chennai Super Kings?,Stephen Fleming
What is the name of the stadium where the Chennai Super Kings play their home matches?,M A Chidambaram Stadium
What is the capacity of the M A Chidambaram Stadium?,"38,200"
How many Indian Premier League titles has the Chennai Super Kings won?,5
In what years did the Chennai Super Kings win the Indian Premier League titles?,"2010, 2011, 2018, 2021, 2023"
How many Champions League Twenty20 titles has the Chennai Super Kings won?,2
In what years did the Chennai Super Kings win the Champions League Twenty20 titles?,"2010, 2014"
What is the name of the company that owns the Chennai Super Kings?,Chennai Super Kings Cricket Limited
Who is the manager of the Chennai Super Kings?,Russell Radhakrishnan
In what city is the Chennai Super Kings based?,Chennai
In what state is the Chennai Super Kings based?,Tamil Nadu
What is the name of the league that the Chennai Super Kings competes in?,Indian Premier League
What is the abbreviation for the Chennai Super Kings?,CSK
Why was the Chennai Super Kings suspended from the Indian Premier League?,Involvement of its owners in the 2013 IPL betting case
In what year did the Chennai Super Kings rejoin the Indian Premier League?,2018
What is the valuation of the Chennai Super Kings?,115 billion
What is the ranking of the Chennai Super Kings in terms of valuation among Indian Premier League franchises?,Second most valuable IPL franchise
What is the name of the first unicorn sports enterprise in India?,Chennai Super Kings
Who was the head coach of the Super Kings in a certain year?,MS Dhoni
Who was the joint highest-paid cricketer in the IPL?,Andrew Flintoff
Why did Hussey skip the IPL season?,To focus on The Ashes
What was the Super Kings' finish in the league stage in a certain year?,Second place
Who won the Orange Cap as the leading runscorer of the season?,Hayden
What was the Super Kings' finish in the first half of the regular season in a certain year?,Two wins from seven matches
Who did the Super Kings defeat in the final to secure their first-ever IPL title?,Mumbai Indians
What tournament did the Super Kings qualify for after winning the IPL title?,2010 Champions League Twenty20
Who was the Man of the Match in the final of the Champions League?,Murali Vijay
Who was awarded the Golden Bat for scoring the most runs in the tournament?,Murali Vijay
Who was the leading wicket-taker in the Champions League?,Ravichandran Ashwin
Who was the Player of the Series in the Champions League?,Ravichandran Ashwin
Who did the Super Kings retain from their current squad in the 2011 auction?,"Dhoni, Raina, Vijay, and Albie Morkel"
Who did the Super Kings buy back in the 2011 auction?,"Hussey, Ashwin, Bollinger, and Subramaniam Badrinath"
What was the Super Kings' finish in the league stage in the 2011 season?,Second place
Who was the Man of the Match in the final of the IPL in the 2011 season?,Vijay
Who did the Super Kings buy at the player auction before the 2012 season?,Ravindra Jadeja
What was the Super Kings' finish in the league stage in the 2012 season?,Did not qualify for the playoffs
Who did the Super Kings beat in the playoffs in the 2012 season?,Mumbai Indians and Delhi Daredevils
Who did the Super Kings lose to in the final of the IPL in the 2012 season?,Kolkata Knight Riders
What was the Super Kings' finish in the Champions League in the 2012 season?,Did not progress past the group stage
How many wins did the Super Kings have in the 2013 season?,11 wins from 16 matches
What was the record for most successive match wins in the IPL set by the Chennai Super Kings?,seven wins
Who top scored with 733 runs in the 2012 season and won the Orange Cap?,Michael Hussey
Who won the Purple Cap for the most wickets in the 2012 season?,Dwayne Bravo
Where was the 2013 Champions League Twenty20 held?,India
Who was the team principal of the Chennai Super Kings arrested by Mumbai Police in May 2013?,Gurunath Meiyappan
What was Gurunath Meiyappan charged with?,placing bets on IPL matches
Who was retained by the Chennai Super Kings ahead of the 2014 season?,"Dhoni, Raina, Jadeja, Ashwin, and Bravo"
Where were the first phase of the 2014 IPL season held?,the UAE
Why were the Chennai Super Kings home matches shifted from Chennai to Ranchi in the 2014 season?,dispute between the Government of Tamil Nadu and the Tamil Nadu Cricket Association
How many wins did the Chennai Super Kings have in their first ten matches in the 2014 season?,UNKNOWN_NUMBER (eight)
Who was the highest runscorer of the 2014 Champions League Twenty20?,Suresh Raina
Who won the Man of the Series award in the 2014 Champions League Twenty20?,Suresh Raina
Who did the Chennai Super Kings buy in the 2015 players auction?,"Kyle Abbott, Irfan Pathan, and Andrew Tye"
How many wins did the Chennai Super Kings have in the group stage of the 2015 season?,UNKNOWN_NUMBER (nine)
Who did the Chennai Super Kings lose to in the 2015 IPL final?,Mumbai Indians
Why were the Rajasthan Royals and the Chennai Super Kings franchises suspended from the IPL in 2015?,association of their owners with illegal betting
Who did the Chennai Super Kings retain ahead of the 2018 season?,"Dhoni, Raina, and Jadeja"
Who did the Chennai Super Kings buy in the 2018 players auction?,"Bravo, du Plessis, and Vijay"
Where did the Chennai Super Kings hold their practice sessions before the 2018 IPL season?,M A Chidambaram stadium in Chennai
